,,,,,,,,Federal Housing Finance Agency,,
2002,10,5.31,0.42,5.37,29.8,233.0,306.4,78.0,,
2002,11,5.41,0.43,5.47,29.7,227.1,293.8,79.1,,
2002,12,5.27,0.47,5.33,30.0,208.1,270.3,78.4,,
2003,01,5.39,0.36,5.44,29.5,220.9,285.2,78.6,,
2003,02,5.29,0.28,5.33,29.9,215.8,274.3,81.7,,
2003,03,5.12,0.30,5.16,30.0,235.7,303.0,79.6,,
2003,04,5.28,0.32,5.32,30.0,236.3,300.1,80.4,,
2003,05,5.02,0.35,5.07,29.7,237.3,304.8,79.3,,
2003,06,4.83,0.39,4.89,29.9,236.0,302.9,79.8,,
2003,07,4.90,0.42,4.95,29.8,235.0,300.6,80.5,,
2003,08,5.00,0.49,5.07,30.0,251.0,323.5,79.3,,
2003,09,5.11,0.55,5.18,30.0,238.9,312.1,78.6,,
2003,10,5.20,0.47,5.27,29.8,241.2,314.4,79.0,,
2003,11,5.14,0.47,5.21,30.0,226.5,294.8,78.4,,
2003,12,4.97,0.66,5.06,29.8,244.3,321.0,78.5,,
2004,01,4.89,0.50,4.95,30.0,219.9,284.2,79.1,,
2004,02,4.93,0.48,5.00,30.1,237.7,305.9,79.4,,
2004,03,4.76,0.40,4.81,30.0,242.5,322.5,77.8,,
2004,04,4.85,0.39,4.90,29.9,240.2,315.0,78.3,,
2004,05,5.14,0.35,5.19,30.0,243.2,318.4,78.6,,
2004,06,5.36,0.38,5.42,30.0,239.5,309.7,79.3,,
2004,07,5.47,0.38,5.52,29.9,237.8,308.6,79.0,,
2004,08,5.49,0.36,5.54,30.0,241.1,314.1,78.9,,
2004,09,5.48,0.40,5.53,29.9,249.8,328.4,78.2,,
2004,10,5.60,0.34,5.65,30.0,239.6,316.1,78.1,,
2004,11,5.72,0.34,5.76,30.0,240.9,313.5,78.8,,
2004,12,5.86,0.29,5.90,29.8,232.3,298.6,79.3,,
2005,01,5.96,0.28,6.00,30.0,233.8,301.4,79.4,,
2005,02,4.83,0.22,4.86,30.0,295.4,386.8,78.7,,
2005,03,4.93,0.37,4.99,30.0,276.2,360.9,78.9,,
2005,04,5.05,0.42,5.11,29.9,274.4,358.6,78.3,,
2005,05,5.09,0.44,5.15,30.1,277.9,366.2,77.9,,
2005,06,5.12,0.45,5.19,30.1,283.5,380.8,75.7,,
2005,07,5.18,0.38,5.23,30.1,288.9,384.2,77.3,,
2005,08,5.11,0.35,5.16,30.0,265.6,346.7,78.8,,
2005,09,5.36,0.42,5.42,30.1,293.7,390.9,76.8,,
2005,10,5.43,0.33,5.48,30.0,300.1,403.2,76.0,,
2005,11,5.50,0.38,5.55,30.1,293.9,394.0,76.2,,
2005,12,5.59,0.40,5.64,30.2,297.5,396.2,76.1,,
2006,01,5.61,0.37,5.66,30.0,299.6,409.5,75.3,,
2006,02,5.74,0.33,5.79,30.2,302.0,404.8,76.1,,
2006,03,5.93,0.35,5.98,30.0,296.3,391.1,76.9,,
2006,04,6.10,0.38,6.15,30.0,301.7,404.2,76.1,,
2006,05,6.24,0.32,6.29,29.7,326.0,438.5,75.6,,
2006,06,6.44,0.34,6.49,30.0,302.8,407.0,75.6,,
2006,07,6.31,0.37,6.36,30.1,316.8,422.7,76.4,,
2006,08,6.58,0.36,6.63,30.0,290.0,388.7,76.1,,
2006,09,6.13,0.73,6.23,29.9,307.0,406.1,76.5,,
2006,10,6.33,0.55,6.41,29.9,330.1,438.3,77.1,,
2006,11,6.34,0.59,6.43,30.0,323.0,421.8,77.6,,
2006,12,6.21,0.65,6.31,30.1,332.9,431.8,78.6,,
2007,01,6.05,0.68,6.14,30.0,348.8,473.0,76.4,,
2007,02,6.28,0.61,6.36,30.0,337.7,441.0,78.0,,
2007,03,6.11,0.78,6.22,30.0,319.3,427.5,76.6,,
2007,04,6.08,0.78,6.19,30.2,367.3,479.1,79.4,,
2007,05,5.99,0.74,6.10,30.0,377.1,494.2,76.8,,
2007,06,6.24,0.77,6.35,30.0,331.8,435.7,77.3,,
2007,07,6.36,0.65,6.46,29.8,365.4,472.9,78.6,,
2007,08,6.52,0.51,6.59,30.1,447.8,564.6,80.2,,
2007,09,6.28,0.59,6.36,30.3,371.6,498.9,72.9,,
2007,10,6.42,0.44,6.48,29.2,354.8,467.9,77.2,,
2007,11,6.08,0.80,6.19,30.0,447.2,609.9,76.7,,
2007,12,6.08,0.31,6.13,28.3,333.2,424.2,79.9,,
2008,01,5.78,0.56,5.86,30.0,394.7,561.3,80.9,,
2008,02,5.88,0.44,5.94,30.0,410.6,549.1,78.3,,
2008,03,5.30,0.64,5.39,30.0,336.8,456.5,73.5,,
2008,04,5.60,0.37,5.65,29.5,393.8,588.7,73.3,,
2008,05,5.50,0.41,5.56,30.0,284.4,398.0,77.6,,
2008,06,5.66,0.42,5.72,30.1,310.9,465.2,74.4,,
2008,07,5.88,0.65,5.97,30.0,324.2,432.0,80.9,,
2008,08,5.87,0.57,5.95,30.0,288.0,413.2,70.7,,
2008,09,5.76,0.38,5.82,29.6,366.7,511.8,73.6,,
2008,10,5.71,0.66,5.80,30.0,371.6,516.7,77.1,,
2008,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2008,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2009,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2009,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2009,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2009,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2009,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2009,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2009,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2009,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2009,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2009,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2009,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2009,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2010,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2010,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2010,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2010,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2010,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2010,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2010,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2010,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2010,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2010,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2010,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2010,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2011,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2011,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2011,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2011,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2011,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2011,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2011,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2011,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2011,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2011,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2011,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2011,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2012,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2012,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2012,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2012,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2012,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2012,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2012,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2012,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2012,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2012,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2012,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2012,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2013,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2013,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2013,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2013,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2013,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2013,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2013,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2013,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2013,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2013,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2013,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2013,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2014,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2014,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2014,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2014,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2014,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2014,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2014,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2014,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2014,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2014,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2014,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2014,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2015,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2015,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2015,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2015,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2015,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2015,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2015,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2015,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2015,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2015,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2015,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2015,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2016,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2016,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2016,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2016,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2016,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2016,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2016,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2016,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2016,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2016,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2016,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2016,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2017,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2017,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2017,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2017,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2017,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2017,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2017,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2017,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2017,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2017,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2017,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2017,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2018,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2018,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2018,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2018,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2018,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2018,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2018,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2018,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2018,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2018,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2018,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
2018,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,
,,,,,,,,,,
,,,,,,,,,,
,,*Insufficient data to construct a reliable estimate.,,,,,,,,
,,"Note: Starting in 2012, data is unweighted.",,,,,,,,
,,,,,,,,,,
,,Source: Federal Housing Finance Agency,,,,,,,,
,,            Monthly Interest Rate Survey,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,