,,,,,,,,Federal Housing Finance Agency,,,
2002,10,5.31,0.43,5.37,29.5,230.9,318.7,76.2,,,
2002,11,5.33,0.40,5.39,29.7,236.8,327.1,76.6,,,
2002,12,5.26,0.40,5.32,29.7,250.0,336.1,77.2,,,
2003,01,5.19,0.32,5.23,29.9,231.2,315.9,77.0,,,
2003,02,5.12,0.35,5.17,29.8,223.6,302.4,77.6,,,
2003,03,4.98,0.32,5.02,29.8,223.0,302.8,77.4,,,
2003,04,4.93,0.31,4.97,29.7,226.1,297.5,79.8,,,
2003,05,4.91,0.48,4.98,29.7,195.5,273.2,75.1,,,
2003,06,4.60,0.36,4.65,29.9,212.8,292.4,76.1,,,
2003,07,4.61,0.43,4.67,29.2,234.4,318.3,77.6,,,
2003,08,4.82,0.37,4.87,29.8,239.5,321.4,78.1,,,
2003,09,5.09,0.46,5.15,29.7,213.8,291.8,77.0,,,
2003,10,5.05,0.28,5.09,29.5,226.7,305.2,77.2,,,
2003,11,5.12,0.37,5.18,29.8,216.2,285.4,78.2,,,
2003,12,5.00,0.47,5.07,29.8,219.7,288.4,79.1,,,
2004,01,4.92,0.45,4.99,29.9,226.4,299.2,78.8,,,
2004,02,4.95,0.44,5.01,30.0,227.2,305.1,77.7,,,
2004,03,4.63,0.34,4.68,29.8,227.6,305.1,78.1,,,
2004,04,4.61,0.31,4.65,29.8,238.9,321.1,78.1,,,
2004,05,5.01,0.31,5.06,29.8,225.8,296.2,79.5,,,
2004,06,5.34,0.35,5.39,29.8,235.5,310.9,79.0,,,
2004,07,5.32,0.32,5.37,29.7,236.5,311.8,78.3,,,
2004,08,5.24,0.38,5.29,29.6,232.1,309.6,78.1,,,
2004,09,5.14,0.41,5.20,29.9,243.4,326.7,77.6,,,
2004,10,5.21,0.37,5.26,29.8,243.0,328.4,77.4,,,
2004,11,5.28,0.30,5.32,29.9,242.5,320.7,78.3,,,
2004,12,5.46,0.25,5.49,29.8,231.9,308.3,78.6,,,
2005,01,5.47,0.30,5.51,29.9,246.1,327.8,77.9,,,
2005,02,5.32,0.19,5.35,29.9,259.4,353.8,77.0,,,
2005,03,5.39,0.27,5.43,29.9,260.8,354.0,76.6,,,
2005,04,5.49,0.30,5.54,30.0,260.3,349.4,77.3,,,
2005,05,5.49,0.29,5.53,29.9,264.2,350.0,78.6,,,
2005,06,5.38,0.27,5.42,30.0,283.4,385.4,76.4,,,
2005,07,5.44,0.23,5.47,30.0,282.9,389.0,76.0,,,
2005,08,5.58,0.20,5.61,30.0,283.6,383.7,76.7,,,
2005,09,5.58,0.23,5.62,30.0,294.1,406.8,75.1,,,
2005,10,5.68,0.19,5.71,30.0,296.5,411.4,75.0,,,
2005,11,5.95,0.20,5.98,30.0,293.9,414.2,74.0,,,
2005,12,5.97,0.22,6.00,30.1,295.0,405.6,75.4,,,
2006,01,6.08,0.24,6.11,30.0,286.6,393.6,76.0,,,
2006,02,6.09,0.21,6.12,30.0,300.5,411.6,75.2,,,
2006,03,6.32,0.23,6.36,30.1,303.0,407.7,76.3,,,
2006,04,6.39,0.23,6.42,30.0,301.9,405.5,77.1,,,
2006,05,6.46,0.25,6.50,30.2,292.0,388.4,78.0,,,
2006,06,6.49,0.22,6.52,30.0,301.7,401.9,77.3,,,
2006,07,6.58,0.30,6.63,30.1,293.8,396.9,76.7,,,
2006,08,6.68,0.31,6.72,30.0,328.5,437.3,77.1,,,
2006,09,6.34,0.40,6.40,30.3,302.7,394.1,79.1,,,
2006,10,6.29,0.42,6.35,29.8,306.7,404.3,78.9,,,
2006,11,6.30,0.42,6.36,29.9,313.3,416.1,78.3,,,
2006,12,6.30,0.39,6.36,30.1,329.5,431.4,78.1,,,
2007,01,6.29,0.34,6.34,30.1,310.4,407.3,77.8,,,
2007,02,6.27,0.53,6.34,29.9,337.4,442.0,79.1,,,
2007,03,6.16,0.38,6.21,29.9,312.4,412.7,77.7,,,
2007,04,6.10,0.40,6.16,30.4,333.5,433.2,79.2,,,
2007,05,6.21,0.43,6.27,30.1,337.3,430.1,81.0,,,
2007,06,6.37,0.43,6.43,30.1,338.8,447.8,78.2,,,
2007,07,6.39,0.52,6.47,30.1,342.1,447.4,79.2,,,
2007,08,6.52,0.44,6.58,30.1,341.6,442.3,79.4,,,
2007,09,6.57,0.41,6.63,30.2,341.0,446.8,80.0,,,
2007,10,6.37,0.38,6.43,29.7,351.4,462.1,78.4,,,
2007,11,6.13,0.33,6.17,30.5,364.2,469.4,81.1,,,
2007,12,5.99,0.23,6.02,30.7,327.5,424.8,83.5,,,
2008,01,5.81,0.22,5.84,30.4,329.7,445.3,78.4,,,
2008,02,5.45,0.28,5.49,30.3,357.4,496.7,76.4,,,
2008,03,5.57,0.32,5.61,30.1,323.1,442.8,77.9,,,
2008,04,5.60,0.24,5.63,30.0,295.3,414.3,79.8,,,
2008,05,5.60,0.33,5.65,29.4,262.7,358.4,79.7,,,
2008,06,5.75,0.31,5.79,29.8,318.6,445.5,77.8,,,
2008,07,5.92,0.32,5.96,29.9,296.2,412.5,77.4,,,
2008,08,5.89,0.29,5.93,29.8,279.0,396.1,74.9,,,
2008,09,5.81,0.26,5.85,30.0,285.5,418.1,70.7,,,
2008,10,6.12,0.29,6.16,30.0,260.1,334.3,80.7,,,
2008,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2008,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2009,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2009,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2009,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2009,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2009,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2009,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2009,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2009,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2009,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2009,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2009,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2009,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2010,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2010,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2010,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2010,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2010,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2010,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2010,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2010,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2010,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2010,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2010,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2010,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2011,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2011,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2011,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2011,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2011,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2011,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2011,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2011,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2011,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2011,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2011,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2011,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2012,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2012,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2012,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2012,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2012,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2012,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2012,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2012,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2012,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2012,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2012,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2012,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2013,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2013,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2013,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2013,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2013,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2013,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2013,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2013,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2013,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2013,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2013,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2013,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2014,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2014,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2014,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2014,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2014,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2014,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2014,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2014,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2014,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2014,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2014,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2014,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2015,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2015,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2015,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2015,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2015,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2015,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2015,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2015,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2015,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2015,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2015,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2015,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2016,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2016,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2016,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2016,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2016,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2016,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2016,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2016,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2016,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2016,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2016,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2016,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2017,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2017,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2017,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2017,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2017,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2017,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2017,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2017,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2017,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2017,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2017,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2017,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2018,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2018,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2018,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2018,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2018,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2018,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2018,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2018,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2018,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2018,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
2018,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,*Insufficient data to construct a reliable estimate.,,,,,,,,,
,,"Note: Starting in 2012, data is unweighted.",,,,,,,,,
,,,,,,,,,,,
,,Source: Federal Housing Finance Agency,,,,,,,,,
,,            Monthly Interest Rate Survey,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,